Emissor;Ativo;Data de Registro CVM;Data de Emissão;Data da 1ª Repactuação;Data de Vencimento;Prazo (em anos) de Vencimento;Prazo (em anos) de Repactuação;Sit;Tipo de Remuneração;Tipo de Correção;Forma;Classe;Garantia;Ramo
COLUMBIA DO NORDESTE S/A;CLND11;22/06/2015;29/05/2015;-;29/05/2025;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
CEMIG DISTRIBUICAO S/A;CMDT12;17/12/2007;15/12/2007;-;15/12/2017;10,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Energia Elétrica
CEMIG GERACAO E TRANSMISSAO S/A;CMTR33;12/03/2012;15/02/2012;-;15/02/2022;10,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Energia Elétrica
CONE SA;CONE11;24/01/2014;15/12/2013;-;15/12/2023;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Outros
CONTAX PARTICIPACOES S/A;CTAP11;23/12/2011;15/12/2011;-;15/12/2021;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;TI e Telecomunicações
CONTAX PARTICIPACOES S/A;CTAP21;23/12/2011;15/12/2011;-;15/12/2021;10,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;TI e Telecomunicações
CYRELA BRAZIL REALTY S/A EMPREENDIMENTOS E PARTICIPACOES;CYRE12;30/01/2008;05/01/2008;05/01/2010;05/01/2018;10,0;2,0;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Construção Civil
CYRELA BRAZIL REALTY S/A EMPREENDIMENTOS E PARTICIPACOES;CYRE22;30/01/2008;05/01/2008;05/01/2011;05/01/2018;10,0;3,0;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Construção Civil
ECORODOVIAS CONCESSOES E SERVICOS S/A;ECCR32;18/10/2012;15/10/2012;-;15/10/2022;10,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Transporte e Logística
ELEKTRO ELETRICIDADE E SERVICOS S/A;ELEK36;13/09/2012;12/09/2012;-;12/09/2022;10,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Energia Elétrica
ELETROPAULO METROPOL ELETR DE SP S/A;ELSP13;18/05/2010;14/05/2010;-;14/05/2020;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Subordinada;Energia Elétrica
ELETROPAULO METROPOL ELETR DE SP S/A;EMSP14;04/01/2012;28/11/2011;-;28/11/2021;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
CPFL ENERGIAS RENOVAVEIS SA;ERSA11;14/06/2012;21/05/2012;-;21/05/2022;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Energia Elétrica
FLAFLU PARTICIPACOES SA;FFLU11;16/09/2014;05/09/2014;-;05/09/2024;10,0;-;Reg;SEM-ÍNDICE;-;Escritural;Não Conversível;Subordinada;Outros
COMPANHIA DE GAS DE SAO PAULO - COMGAS;GASP34;21/12/2015;15/12/2015;-;15/12/2025;10,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Petróleo e Gás
GAS VERDE S/A;GASV11;27/03/2013;15/03/2013;-;15/03/2023;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Petróleo e Gás
GAIA CRED II COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS SA;GCII11;19/07/2016;07/07/2016;-;07/07/2026;10,0;-;Reg;SEM-ÍNDICE;-;Escritural;Não Conversível;Quirografária;
DUKE ENERGY INTERNATIONAL GERACAO PARANAPANEMA S/A;GEPA24;08/08/2013;16/07/2013;-;16/07/2023;10,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
GRAN JARDINS DOS MONOLITOS EMPREENDIMENTOS IMOBILIARIOS SA;GRJM21;05/09/2014;15/08/2014;-;15/08/2024;10,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Construção Civil
HOLCIM (BRASIL) S/A;HOLC11;18/10/2013;01/10/2013;-;01/10/2023;10,0;-;Reg;PRÉ;Integrante de Juros;Escritural;Não Conversível;Quirografária;Cimentos
RIO IACO PARTICIPACOES SA;IACO11;13/06/2011;31/05/2011;-;31/05/2021;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Metalurgia e Siderurgia
ITAPOA TERMINAIS PORTUARIOS SA;ITPO11;10/05/2013;13/05/2013;-;13/05/2023;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
JHSF MANAUS EMPREENDIMENTOS E INCORPORACOES SA;JHMN11;17/12/2013;18/12/2013;-;18/12/2023;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Construção Civil
JHSF PARTICIPACOES S/A;JHSP15;17/12/2013;18/12/2013;-;18/12/2023;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Construção Civil
MINVEST PLANEJAMENTO E ADMINISTRACAO DE SHOPPING CENTER S/A;MINV21;02/06/2015;02/04/2015;-;02/04/2025;10,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Adm Shopping Centers
MGI - MINAS GERAIS PARTICIPACOES SA;MMGP12;28/09/2012;24/07/2012;-;24/07/2022;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Subordinada;Empr e Part
MRS LOGISTICA S/A;MRSL27;25/02/2015;15/02/2015;-;15/02/2025;10,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
COMPANHIA METRO NORTE;MTRN11;17/12/2013;18/12/2013;-;18/12/2023;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
MULTITERMINAIS SA;MTTM11;25/10/2012;20/09/2012;-;20/09/2022;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
ODEBRECHT TRANSPORT SA;ODTP11;27/12/2010;27/12/2010;-;27/12/2020;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Flutuante;Transporte e Logística
OSX CONSTRUCAO NAVAL SA-EM RECJUDICIAL;OSXC11;27/01/2016;15/01/2016;-;15/01/2026;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Petróleo e Gás
OSX CONSTRUCAO NAVAL SA-EM RECJUDICIAL;OSXC51;27/01/2016;15/01/2016;-;15/01/2026;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Petróleo e Gás
RBS PARTICIPACOES SA;RBSA11;11/07/2011;12/07/2011;-;12/07/2021;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Mídia
RODOVIAS DAS COLINAS SA;RDCO34;26/04/2013;15/04/2013;-;15/04/2023;10,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Transporte e Logística
RENOVA ENERGIA S/A;RNEV13;29/12/2014;15/12/2014;-;15/12/2024;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
ROMPRO PARTICIPACOES SA;ROMP11;29/04/2015;26/02/2015;-;26/02/2025;10,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Empr e Part
RENOVA COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS SA;RSCF11;29/05/2014;25/04/2014;-;25/04/2024;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Financeiro
RENOVA COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS SA;RSCF12;29/10/2015;30/09/2015;-;30/09/2025;10,0;-;Reg;SEM-ÍNDICE;-;Escritural;Não Conversível;Quirografária;Financeiro
RENOVA COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS SA;RSCF21;29/05/2014;25/04/2014;-;25/04/2024;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Financeiro
RENOVA COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS SA;RSCF31;29/05/2014;25/04/2014;-;25/04/2024;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Financeiro
RENOVA COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS SA;RSCF41;29/05/2014;25/04/2014;-;25/04/2024;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Financeiro
SANTO ANTONIO ENERGIA SA;SAES12;23/01/2013;27/12/2012;-;27/12/2022;10,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Energia Elétrica
SOCIEDADE ADMINISTRADORA DE ESTACIONAMENTOS E SERVICOS SA;SASS11;19/12/2013;18/12/2013;-;18/12/2023;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Outros
SB BONSUCESSO ADMINISTRADORA DE SHOPPINGS SA;SBBO11;14/11/2012;16/10/2012;-;16/10/2022;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Adm Shopping Centers
SB BONSUCESSO ADMINISTRADORA DE SHOPPINGS SA;SBBO21;14/11/2012;16/10/2012;-;16/10/2022;10,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Adm Shopping Centers
CIA SANEAMENTO BASICO EST SP - SABESP;SBESC7;20/02/2013;15/01/2013;-;15/01/2023;10,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Saneamento
SPE BRASIL SOLAIR LOCACAO E ARRENDAMENTO DE PAINEIS SOLARES SA;SPES11;18/12/2014;15/10/2014;-;15/10/2024;10,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Flutuante;Energia Elétrica
SANTO ANTONIO ENERGIA SA;STEN23;29/04/2014;15/04/2014;-;15/04/2024;10,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
SANTANDER LEASING S/A ARRENDAMENTO MERCANTIL;SUDA14;26/07/2007;01/06/2007;-;01/06/2017;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Subordinada;Financeiro
SANTANDER LEASING S/A ARRENDAMENTO MERCANTIL;SUDA15;26/10/2007;01/09/2007;-;01/09/2017;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Subordinada;Financeiro
SUSTENTA COMERCIALIZADORA DE ENERGIA SA;SUTE11;17/12/2013;18/12/2013;-;18/12/2023;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
TRACTEBEL ENERGIA S/A;TBLE15;22/12/2014;15/12/2014;-;15/12/2024;10,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
BR TOWERS SPE1   SA;TOWE12;28/10/2013;15/10/2013;-;15/10/2023;10,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Outros
TANGARA ENERGIA SA;TREG11;15/09/2014;15/08/2014;-;15/08/2024;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
TRAPEZIO SA;TRPZ14;17/06/2016;17/12/2012;-;17/12/2022;10,0;-;Reg;IPCA;Correção Monetária;Nominativa;Não Conversível;Real;Financeiro
VALE S/A;VALE28;05/02/2014;15/01/2014;-;15/01/2024;10,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Mineração
VILA CATARINA SHOPPING SA;VILC11;17/12/2013;18/12/2013;-;18/12/2023;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Adm Shopping Centers
TELEFONICA BRASIL S/A;VIVO34;20/10/2009;15/10/2009;15/10/2014;15/10/2019;10,0;5,0;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;TI e Telecomunicações
VOTORANTIM CIMENTOS S/A;VTCM13;17/02/2011;14/02/2011;-;14/02/2021;10,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Cimentos
NC ENERGIA SA;NCEN11;30/09/2015;01/10/2015;-;15/12/2025;10,2;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
TERMELETRICA VIANA SA;TVIA12;20/12/2012;14/12/2012;-;15/03/2023;10,3;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Energia Elétrica
VOTORANTIM CIMENTOS S/A;VTCM12;11/10/2010;05/10/2010;-;05/03/2021;10,4;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Cimentos
MIOLO WINES SA  - VITIVINICULTURA;MWVI11;10/10/2012;28/09/2012;-;28/03/2023;10,5;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Alimentos e Bebidas
RENOSA PARTICIPACOES SA;RENO11;02/01/2015;15/12/2014;-;31/05/2025;10,5;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Alimentos e Bebidas
TERMELETRICA VIANA SA;TVIA22;20/12/2012;14/12/2012;-;15/06/2023;10,5;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Energia Elétrica
CONTAX PARTICIPACOES S/A;CTXP11;16/09/2011;24/05/2011;-;15/12/2021;10,6;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;TI e Telecomunicações
SIDERURGICA NORTE BRASIL SA;SIMR13;30/09/2015;10/08/2015;-;28/03/2026;10,6;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Metalurgia e Siderurgia
CANABRAVA AGRICOLA SA;CNBA11;14/03/2011;15/03/2011;-;01/12/2021;10,7;-;Reg;IGP-M;Correção Monetária;Escritural;Não Conversível;Real;Agronegócios
TERMELETRICA VIANA SA;TVIA32;20/12/2012;14/12/2012;-;15/09/2023;10,8;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Energia Elétrica
AUTOPISTA PLANALTO SUL S/A;APPS12;06/04/2015;15/12/2014;-;15/12/2025;11,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Transporte e Logística
CONCESSIONARIA ECOVIAS DOS IMIGRANTES SA;ECOV22;26/04/2013;15/04/2013;-;15/04/2024;11,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Transporte e Logística
ELETROPAULO METROPOL ELETR DE SP S/A;EMSP11;22/11/2007;01/11/2007;-;01/11/2018;11,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
MAKRO ATACADISTA SOCIEDADE ANONIMA;MAKR11;23/10/2009;28/09/2009;-;24/09/2020;11,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Flutuante;Comércio Varejista
OAS S/A;OAEP18;24/07/2013;11/07/2013;-;21/07/2024;11,0;-;Reg;PRÉ;Integrante de Juros;Escritural;Não Conversível;Real;Construção Civil
PDG REALTY S/A EMPREENDIMENTOS E PARTICIPACOES;PDGE11;23/07/2007;01/07/2007;-;01/07/2018;11,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Construção Civil
TERMELETRICA VIANA SA;TVIA42;20/12/2012;14/12/2012;-;15/12/2023;11,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Energia Elétrica
CONCESSIONARIA DO AEROPORTO INTERNACIONAL DE GUARULHOS SA;AGRU11;20/03/2014;15/02/2014;-;15/03/2025;11,1;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Aviação e Aeronáutica
BR MALLS PARTICIPACOES S/A;BRML13;14/12/2012;17/12/2012;-;17/01/2024;11,1;-;Reg;PÓS;Integrante de Juros;Escritural;Não Conversível;Quirografária;Adm Shopping Centers
RENOVA EOLICA PARTICIPACOES SA;RNEP11;26/12/2014;15/11/2014;-;15/12/2025;11,1;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Energia Elétrica
RENOVA EOLICA PARTICIPACOES SA;RNEP21;26/12/2014;15/11/2014;-;15/12/2025;11,1;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Energia Elétrica
CONCESSIONARIA DO AEROPORTO INTERNACIONAL DE GUARULHOS SA;AGRU21;20/03/2014;15/02/2014;-;15/06/2025;11,3;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Aviação e Aeronáutica
CONCESSIONARIA DAS RODOVIAS AYRTON SENNA E CARVALHO PINTO S/A - ECOPISTAS;ECPT21;10/03/2011;15/01/2011;-;15/04/2022;11,3;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Transporte e Logística
LINHARES GERACAO S/A;LGER11;13/12/2012;14/11/2012;-;16/02/2024;11,3;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Energia Elétrica
OAS S/A;OAEP28;24/07/2013;11/07/2013;-;21/10/2024;11,3;-;Reg;PRÉ;Integrante de Juros;Escritural;Não Conversível;Real;Construção Civil
TERMELETRICA   PERNAMBUCO  III   SA;TEPE21;18/12/2013;15/11/2013;-;15/02/2025;11,3;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Energia Elétrica
AEROPORTOS BRASIL -  VIRACOPOS SA;VRCP41;04/02/2014;15/01/2014;-;15/06/2025;11,4;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Aviação e Aeronáutica
ALTAR EMPREENDIMENTOS E PARTICIPACOES SA;ALTA11;27/11/2015;14/11/2015;-;14/05/2027;11,5;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Empr e Part
CONCESSIONARIA DAS RODOVIAS AYRTON SENNA E CARVALHO PINTO S/A - ECOPISTAS;ECPT31;10/03/2011;15/01/2011;-;15/07/2022;11,5;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Transporte e Logística
GERADORA EOLICA BONS VENTOS DA SERRA I SA;GLIC11;29/07/2015;15/06/2015;-;15/12/2026;11,5;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
LINHARES GERACAO S/A;LGER21;13/12/2012;14/11/2012;-;16/05/2024;11,5;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Energia Elétrica
PCH HOLDING 2 SA;PCHH11;02/01/2012;20/12/2011;-;20/06/2023;11,5;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
TERMELETRICA   PERNAMBUCO  III   SA;TEPE31;18/12/2013;15/11/2013;-;15/05/2025;11,5;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Energia Elétrica
CONCESSIONARIA DO AEROPORTO INTERNACIONAL DE GUARULHOS SA;AGRU31;20/03/2014;15/02/2014;-;15/09/2025;11,6;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Aviação e Aeronáutica
AEROPORTOS BRASIL -  VIRACOPOS SA;VRCP11;04/02/2014;15/01/2014;-;15/09/2025;11,7;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Aviação e Aeronáutica
CONCESSIONARIA DO AEROPORTO INTERNACIONAL DE GUARULHOS SA;AGRU41;20/03/2014;15/02/2014;-;15/12/2025;11,8;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Aviação e Aeronáutica
CONCESSIONARIA DAS RODOVIAS AYRTON SENNA E CARVALHO PINTO S/A - ECOPISTAS;ECPT41;10/03/2011;15/01/2011;-;15/10/2022;11,8;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Transporte e Logística
LINHARES GERACAO S/A;LGER31;13/12/2012;14/11/2012;-;16/08/2024;11,8;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Energia Elétrica
TERMELETRICA   PERNAMBUCO  III   SA;TEPE41;18/12/2013;15/11/2013;-;15/08/2025;11,8;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Energia Elétrica
AEROPORTOS BRASIL -  VIRACOPOS SA;VRCP21;04/02/2014;15/01/2014;-;15/12/2025;11,9;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Aviação e Aeronáutica
DISTRIBUIDORA  DE  AGUA  CAMACARI  SA;AGCM11;27/03/2013;15/03/2013;-;15/03/2025;12,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Saneamento
CONCESSIONARIA DO AEROPORTO INTERNACIONAL DE GUARULHOS SA;AGRU12;24/10/2014;15/10/2014;-;15/10/2026;12,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Aviação e Aeronáutica
BHG SA - BRAZIL HOSPITALITY GROUP;BHGR13;03/06/2015;01/06/2015;-;01/06/2027;12,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Outros
CONCESSIONARIA AUTO RAPOSO TAVARES S/A;CART12;21/12/2012;15/12/2012;-;15/12/2024;12,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Transporte e Logística
CONCESSIONARIA AUTO RAPOSO TAVARES S/A;CART22;21/12/2012;15/12/2012;-;15/12/2024;12,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Transporte e Logística
CEMIG DISTRIBUICAO S/A;CMDT33;07/03/2013;15/02/2013;-;15/02/2025;12,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Energia Elétrica
CACHOEIRA PAULISTA TRANSMISSORA DE ENERGIA SA;CPTE11;27/12/2011;11/11/2011;-;11/11/2023;12,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Energia Elétrica
CETREL S/A;CTRL11;19/09/2013;16/09/2013;-;16/09/2025;12,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Outros
ECOSTEEL GESTAO DE EFLUENTES INDUSTRIAIS  S/A;ECEE11;30/04/2015;15/04/2015;-;15/04/2027;12,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Saneamento
CONCESSIONARIA DAS RODOVIAS AYRTON SENNA E CARVALHO PINTO S/A - ECOPISTAS;ECPT11;10/03/2011;15/01/2011;-;15/01/2023;12,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Transporte e Logística
HAZTEC TECNOLOGIA E PLANEJAMENTO AMBIENTAL SA;HTPA11;15/06/2011;01/04/2011;-;01/04/2023;12,0;-;Reg;TR;Integrante de Juros;Escritural;Não Conversível;Flutuante;Outros
INTERLIGACAO ELETRICA DO MADEIRA S/A;IEMD12;15/03/2013;18/03/2013;-;18/03/2025;12,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Energia Elétrica
LINHARES GERACAO S/A;LGER41;13/12/2012;14/11/2012;-;16/11/2024;12,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Energia Elétrica
ODEBRECHT TRANSPORT SA;ODTR11;13/11/2013;15/10/2013;-;15/10/2025;12,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Transporte e Logística
PRUDENSHOPPING SA;PRSH11;21/10/2014;15/10/2014;-;15/10/2026;12,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Adm Shopping Centers
SUPERVIA-CONCESSIONARIA DE TRANSPORTE FERROVIARIO SA;SPVI12;22/12/2014;15/11/2014;-;15/11/2026;12,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Transporte e Logística
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A;TAEE33;23/10/2012;15/10/2012;-;15/10/2024;12,0;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Quirografária;Energia Elétrica
TERMELETRICA   PERNAMBUCO  III   SA;TEPE11;18/12/2013;15/11/2013;-;15/11/2025;12,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Energia Elétrica
ULTRAFERTIL S/A;ULFT11;27/10/2015;15/06/2015;-;15/06/2027;12,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Transporte e Logística
VALE S/A;VALE38;05/02/2014;15/01/2014;-;15/01/2026;12,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Mineração
AEROPORTOS BRASIL -  VIRACOPOS SA;VRCP31;04/02/2014;15/01/2014;-;15/03/2026;12,2;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Aviação e Aeronáutica
RIO CANOAS ENERGIA S/A;RCNE22;17/08/2012;15/08/2012;-;15/12/2024;12,3;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Energia Elétrica
VENTOS DE SAO TOME HOLDING SA;TOME12;29/08/2015;15/07/2015;-;15/12/2027;12,4;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
ELETROPAULO METROPOL ELETR DE SP S/A;ELSP19;22/12/2005;20/12/2005;-;20/08/2018;12,7;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
SCALINA S/A;SCLA11;29/10/2010;11/10/2010;-;15/06/2023;12,7;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Têxtil e Calçados
SCALINA S/A;TFTP11;29/10/2010;11/10/2010;-;15/06/2023;12,7;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Quirografária;Têxtil e Calçados
FONTE NOVA NEGOCIOS E PARTICIPACOES SA - FNP;FNTE11;28/02/2012;22/02/2012;-;22/12/2024;12,8;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Outros
VENTOS DE SAO TITO HOLDING S/A;VNTT11;11/12/2015;15/09/2015;-;15/06/2028;12,8;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Energia Elétrica
VOLTALIA  SAO  MIGUEL DO GOSTOSO PARTICIPACOES SA;VTLA11;22/03/2016;08/03/2016;-;15/12/2028;12,8;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;
DISTRIBUIDORA DE AGUAS TRIUNFO SA;AGFO11;11/06/2014;15/05/2014;-;15/05/2027;13,0;-;Reg;DI;Integrante de Juros;Escritural;Não Conversível;Real;Saneamento
NORTE BRASIL TRANSMISSORA DE ENERGIA SA;NRTB11;18/10/2013;15/09/2013;-;15/09/2026;13,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Energia Elétrica
NORTE BRASIL TRANSMISSORA DE ENERGIA SA;NRTB21;18/10/2013;15/09/2013;-;15/09/2026;13,0;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Energia Elétrica
CENTRAIS EOLICAS DE CAETITE PARTICIPACOES S/A;CAET12;29/12/2015;15/10/2015;-;15/12/2028;13,2;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Quirografária;Energia Elétrica
SANTA CRUZ POWER CORPORATION USINAS HIDROELETRICAS S/A;POWE21;01/07/2013;15/06/2013;-;15/09/2026;13,3;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Energia Elétrica
FERREIRA GOMES ENERGIA SA;FGEN13;28/07/2014;15/06/2014;-;15/12/2027;13,5;-;Reg;IPCA;Integrante de Juros;Escritural;Não Conversível;Real;Energia Elétrica
SANTA CRUZ POWER CORPORATION USINAS HIDROELETRICAS S/A;POWE31;01/07/2013;15/06/2013;-;15/12/2026;13,5;-;Reg;IPCA;Correção Monetária;Escritural;Não Conversível;Real;Energia Elétrica
